Comment,Profile URL,Sentiment,ProfileID,PagesLiked
Best chocolate milk,https://www.facebook.com/dleewinnie?fref=ufi&rc=p,Positive,754138583,"['https://www.facebook.com/foodbyshared/?ref=br_rs', 'https://www.facebook.com/search/109870912368806/places-in/2233/places/intersect/', 'https://www.facebook.com/shopjernigans/?ref=br_rs', 'https://www.facebook.com/search/103108749730033/places-in/191647907538150/places/intersect/', 'https://www.facebook.com/abcpediatricsdunn/?ref=br_rs', 'https://www.facebook.com/search/103108749730033/places-in/132003726865268/places/intersect/', 'https://www.facebook.com/kendalebowlinglanes/?ref=br_rs', 'https://www.facebook.com/search/104033616299542/places-in/182582091788254/places/intersect/', 'https://www.facebook.com/SmurfsMovie/?ref=br_rs', 'https://www.facebook.com/pleasantgroveOFWB/?ref=br_rs', 'https://www.facebook.com/search/103108749730033/places-in/199819723365845/places/intersect/', 'https://www.facebook.com/awesometeachertshirts/?ref=br_rs', 'https://www.facebook.com/Morgan-Family-Farms-141728762509481/?ref=br_rs', 'https://www.facebook.com/search/107788292584652/places-in/189323644423254/places/intersect/', 'https://www.facebook.com/Taste-Of-Heaven-Campground-162668493768541/?ref=br_rs', 'https://www.facebook.com/search/103108749730033/places-in/187004854667366/places/intersect/', 'https://www.facebook.com/neekoscrittercozies/?ref=br_rs', 'https://www.facebook.com/search/104033616299542/places-in/144982405562750/places/intersect/', 'https://www.facebook.com/GailsCreativeArt/?ref=br_rs', 'https://www.facebook.com/Everybeautydeservesacrown/?ref=br_rs', 'https://www.facebook.com/search/104033616299542/places-in/440293872820865/places/intersect/']"
Love all flavors,https://www.facebook.com/danelle.lewisnixon?fref=ufi&rc=p,Positive,100003324615103,"['https://www.facebook.com/diplytrending/?ref=br_rs', 'https://www.facebook.com/SandraLaFlammeRealtor/?ref=br_rs', 'https://www.facebook.com/search/113519498662756/places-in/196739023685716/places/intersect/', 'https://www.facebook.com/JesusChrist.Savior/?ref=br_rs', 'https://www.facebook.com/JackpotPartyCasinoCommunity/?ref=br_rs', 'https://www.facebook.com/ftgswebsite/?ref=br_rs', 'https://www.facebook.com/Angel.vs.Me/?ref=br_rs', 'https://www.facebook.com/search/108424279189115/places-in/129417183848258/places/intersect/', 'https://www.facebook.com/Funandrunn/?ref=br_rs', 'https://www.facebook.com/ProvidrMedia/?ref=br_rs', 'https://www.facebook.com/Love-Transforms-You-226121674122604/?ref=br_rs', 'https://www.facebook.com/sarcasmLOL/?ref=br_rs', 'https://www.facebook.com/DragonplaySlotCity/?ref=br_rs', 'https://www.facebook.com/mymiddlenameistrouble/?ref=br_rs', 'https://www.facebook.com/search/108424279189115/places-in/2705/places/intersect/']"
Looks good,https://www.facebook.com/johnodell55?fref=ufi&rc=p,Positive,100006148356616,"['https://www.facebook.com/rushionmcdonald/?ref=br_rs', 'https://www.facebook.com/jonathan.moseley2/?ref=br_rs', 'https://www.facebook.com/PollsToCongress/?ref=br_rs', 'https://www.facebook.com/search/105540216147364/places-in/2233/places/intersect/', 'https://www.facebook.com/frogonalimb/?ref=br_rs', 'https://www.facebook.com/search/104034432966732/places-in/187679647929203/places/intersect/', 'https://www.facebook.com/Americansorg/?ref=br_rs', 'https://www.facebook.com/search/112104655472709/places-in/169056916473899/places/intersect/', 'https://www.facebook.com/Curiosity-Consignment-457064651039303/?ref=br_rs', 'https://www.facebook.com/search/104128372958248/places-in/205429726142620/places/intersect/', 'https://www.facebook.com/holidayswithmichele/?ref=br_rs', 'https://www.facebook.com/search/106072972756807/places-in/1602/places/intersect/', 'https://www.facebook.com/humancoalition/?ref=br_rs', 'https://www.facebook.com/search/111762725508574/places-in/2603/places/intersect/', 'https://www.facebook.com/SonOfGodMovie/?ref=br_rs', 'https://www.facebook.com/senatormikelee/?ref=br_rs', 'https://www.facebook.com/search/110184922344060/places-in/1701/places/intersect/', 'https://www.facebook.com/ConservativeBookClub/?ref=br_rs', 'https://www.facebook.com/firstladyjakes/?ref=br_rs', 'https://www.facebook.com/search/111762725508574/places-in/1602/places/intersect/']"
Best ever!! So so good!!,https://www.facebook.com/michelle.henry.75?fref=ufi&rc=p,Positive,1000411192,[]
Best chocolate milk ever so good,https://www.facebook.com/leighann.ashley?fref=ufi&rc=p,Positive,100000020440409,"['https://www.facebook.com/SmokyMountainBuildingsNewport/?ref=br_rs', 'https://www.facebook.com/search/109532159073404/places-in/200600219953504/places/intersect/', 'https://www.facebook.com/pages/Sevierville-Tennessee/103693259669093?ref=br_rs', 'https://www.facebook.com/search/103693259669093/places-in/2404/places/intersect/', 'https://www.facebook.com/SmurfsMovie/?ref=br_rs', 'https://www.facebook.com/OUATWonderland/?ref=br_rs', 'https://www.facebook.com/JesusChrist.Savior/?ref=br_rs', 'https://www.facebook.com/newenglandpatriots247/?ref=br_rs', 'https://www.facebook.com/search/106003956105810/places-in/2233/places/intersect/', 'https://www.facebook.com/coltondixonmusic/?ref=br_rs', 'https://www.facebook.com/firstclasswed/?ref=br_rs', 'https://www.facebook.com/search/108249345862917/places-in/191173027579272/places/intersect/', 'https://www.facebook.com/ZumisLabs/?ref=br_rs', 'https://www.facebook.com/search/111856475493743/places-in/144982405562750/places/intersect/', 'https://www.facebook.com/causes/?ref=br_rs', 'https://www.facebook.com/search/114952118516947/places-in/2202/places/intersect/', 'https://www.facebook.com/ShipCaptainSwan/?ref=br_rs', 'https://www.facebook.com/Rondacars/?ref=br_rs', 'https://www.facebook.com/search/113134195367644/places-in/2706/places/intersect/']"
Best chocolate milk ever. I by as a treat to myself.,https://www.facebook.com/jennifer.scottgreen.3?fref=ufi&rc=p,Positive,650898171678963,"['https://www.facebook.com/thefootballrepublic/?ref=br_rs', 'https://www.facebook.com/SquawkaFootballNews/?ref=br_rs', 'https://www.facebook.com/FullTimeDEVILS/?ref=br_rs', 'https://www.facebook.com/RGalacticos/?ref=br_rs', 'https://www.facebook.com/BlueMoonRisingTV/?ref=br_rs', 'https://www.facebook.com/NouNation/?ref=br_rs']"
Best chocolate milk ever love love this stuff,https://www.facebook.com/jennifurlvp?fref=ufi&rc=p,Positive,548159322,"['https://www.facebook.com/SistersMovieOfficial/?ref=br_rs', 'https://www.facebook.com/MuddbonesTx/?ref=br_rs', 'https://www.facebook.com/search/112407855437787/places-in/149803325077018/places/intersect/', 'https://www.facebook.com/UnrealOnLifetime/?ref=br_rs', 'https://www.facebook.com/PeppermintDentalGreenville/?ref=br_rs', 'https://www.facebook.com/search/104089692960137/places-in/116306972128008/places/intersect/', 'https://www.facebook.com/pages/Luna-Azul/105027229539933?ref=br_rs', 'https://www.facebook.com/search/112407855437787/places-in/199377230079198/places/intersect/', 'https://www.facebook.com/awbeemanrealtor/?ref=br_rs', 'https://www.facebook.com/search/112494505431102/places-in/196739023685716/places/intersect/', 'https://www.facebook.com/thebettermom/?ref=br_rs', 'https://www.facebook.com/wwe/?ref=br_rs', 'https://www.facebook.com/search/103133213059698/places-in/124584130946507/places/intersect/', 'https://www.facebook.com/lovewhatreallymatters/?ref=br_rs', 'https://www.facebook.com/search/108424279189115/places-in/2233/places/intersect/', 'https://www.facebook.com/ghostridermovie/?ref=br_rs', 'https://www.facebook.com/upfriendlymedia/?ref=br_rs', 'https://www.facebook.com/NBCTheVoice/?ref=br_rs']"
"This is my favorite chocolate milk in the whole wide world, it always hit the spot.",https://www.facebook.com/felicia.smith.313371?fref=ufi&rc=p,Positive,100001017680011,"['https://www.facebook.com/KingdomCultureChurchPalmBay/?ref=br_rs', 'https://www.facebook.com/search/103781622993969/places-in/187714557925874/places/intersect/', 'https://www.facebook.com/shooffkutsandaccessories/?ref=br_rs', 'https://www.facebook.com/search/108127182549256/places-in/169758603141095/places/intersect/', 'https://www.facebook.com/PEICorp/?ref=br_rs', 'https://www.facebook.com/search/110148382341970/places-in/2239/places/intersect/', 'https://www.facebook.com/ChristGlorifiedMusik/?ref=br_rs', 'https://www.facebook.com/ZackStrudelART/?ref=br_rs', 'https://www.facebook.com/search/108127182549256/places-in/197384240287028/places/intersect/', 'https://www.facebook.com/accesstaxconsulting/?ref=br_rs', 'https://www.facebook.com/search/112496498765132/places-in/133381803394214/places/intersect/', 'https://www.facebook.com/first.name.meanings/?ref=br_rs', 'https://www.facebook.com/search/109665639060246/places-in/2202/places/intersect/', 'https://www.facebook.com/IamAddictedToYou/?ref=br_rs', 'https://www.facebook.com/search/110970792260960/places-in/2233/places/intersect/', 'https://www.facebook.com/pages/Floridas-Blood-Centers/163427457016991?ref=br_rs', 'https://www.facebook.com/search/106149149416964/places-in/186236611410712/places/intersect/', 'https://www.facebook.com/BoyzNtheHood/?ref=br_rs', 'https://www.facebook.com/demarcobridal/?ref=br_rs', 'https://www.facebook.com/mymarriageisbeautiful/?ref=br_rs']"
That is the best milk I have ever had.,https://www.facebook.com/melissa.bodine.75?fref=ufi&rc=p,Positive,1359241360,[]
I love this chocolate milk! 👍😁 it’s the best,https://www.facebook.com/madonna.ivy.1?fref=ufi&rc=p,Positive,100002641445433,"['https://www.facebook.com/GeneralHospitalSpoilers/?ref=br_rs', 'https://www.facebook.com/daniellebreezytv/?ref=br_rs', 'https://www.facebook.com/search/106220079409935/places-in/1605/places/intersect/', 'https://www.facebook.com/williamsoncountynews/?ref=br_rs', 'https://www.facebook.com/headlightrest/?ref=br_rs', 'https://www.facebook.com/search/108278912529442/places-in/162295707155272/places/intersect/', 'https://www.facebook.com/FvHSuac/?ref=br_rs', 'https://www.facebook.com/Baseball-Mom-782926125076108/?ref=br_rs', 'https://www.facebook.com/thechewonabc/?ref=br_rs', 'https://www.facebook.com/rdjones1972/?ref=br_rs', 'https://www.facebook.com/search/111991738816991/places-in/1700/places/intersect/', 'https://www.facebook.com/Creekside-Cottage-Retreat-976317932387558/?ref=br_rs', 'https://www.facebook.com/ryesfurniture/?ref=br_rs', 'https://www.facebook.com/search/108278912529442/places-in/162845797101278/places/intersect/', 'https://www.facebook.com/TENNSTARAUTOMOTIVE/?ref=br_rs', 'https://www.facebook.com/search/109662809059878/places-in/131962450204676/places/intersect/', 'https://www.facebook.com/NBCTheVoice/?ref=br_rs']"
